payment_id,order_id,merchant_id,amount,payment_method,payment_status,created_at
pay_001092,ord_001092,mrc_demo_002,8477.47,WALLET,CAPTURED,2026-07-23T15:15:00
pay_001093,ord_001093,mrc_demo_001,9728.12,UPI,CAPTURED,2026-08-06T13:15:00
pay_001094,ord_001094,mrc_demo_002,24712.99,CARD,CAPTURED,2026-07-25T15:15:00
pay_001095,ord_001095,mrc_demo_001,2717.39,UPI,CAPTURED,2026-07-29T19:15:00
pay_001096,ord_001096,mrc_demo_001,11869.51,NETBANKING,CAPTURED,2026-07-05T17:15:00
pay_001097,ord_001097,mrc_demo_002,18037.94,UPI,CAPTURED,2026-08-10T17:15:00
pay_001098,ord_001098,mrc_demo_002,18732.15,UPI,CAPTURED,2026-07-15T20:15:00
pay_001099,ord_001099,mrc_demo_001,8277.85,NETBANKING,CAPTURED,2026-07-03T13:15:00
pay_001100,ord_001100,mrc_demo_003,14256.36,CARD,CAPTURED,2026-07-27T10:15:00
pay_001101,ord_001101,mrc_demo_003,6210.1,CARD,CAPTURED,2026-08-13T11:15:00
pay_001102,ord_001102,mrc_demo_002,482.09,NETBANKING,CAPTURED,2026-08-12T18:15:00
pay_001103,ord_001103,mrc_demo_003,17334.93,NETBANKING,CAPTURED,2026-07-28T11:15:00
pay_001104,ord_001104,mrc_demo_002,9133.83,NETBANKING,CAPTURED,2026-08-06T08:15:00
pay_001105,ord_001105,mrc_demo_003,22787.5,NETBANKING,CAPTURED,2026-07-04T20:15:00
pay_001106,ord_001106,mrc_demo_001,4955.31,CARD,CAPTURED,2026-08-10T18:15:00
pay_001107,ord_001107,mrc_demo_003,7895.67,UPI,CAPTURED,2026-07-03T17:15:00
pay_001108,ord_001108,mrc_demo_002,18749.84,CARD,CAPTURED,2026-07-21T10:15:00
pay_001109,ord_001109,mrc_demo_002,18727.03,UPI,CAPTURED,2026-07-19T15:15:00
pay_001110,ord_001110,mrc_demo_003,24189.67,NETBANKING,CAPTURED,2026-07-26T09:15:00
pay_001111,ord_001111,mrc_demo_002,18787.72,WALLET,CAPTURED,2026-08-13T18:15:00
pay_001112,ord_001112,mrc_demo_002,15583.44,NETBANKING,CAPTURED,2026-07-02T17:15:00
pay_001113,ord_001113,mrc_demo_002,7728.78,UPI,CAPTURED,2026-08-14T10:15:00
pay_001114,ord_001114,mrc_demo_001,22209.39,WALLET,CAPTURED,2026-07-16T15:15:00
pay_001115,ord_001115,mrc_demo_003,10622.99,WALLET,CAPTURED,2026-08-04T18:15:00
pay_001116,ord_001116,mrc_demo_002,17334.12,WALLET,CAPTURED,2026-07-03T15:15:00
pay_001117,ord_001117,mrc_demo_001,9341.13,NETBANKING,CAPTURED,2026-08-13T08:15:00
pay_001118,ord_001118,mrc_demo_002,4947.31,WALLET,CAPTURED,2026-07-18T09:15:00
pay_001119,ord_001119,mrc_demo_001,19722.86,CARD,CAPTURED,2026-07-04T20:15:00
pay_001120,ord_001120,mrc_demo_003,14762.63,NETBANKING,CAPTURED,2026-07-14T20:15:00
pay_001121,ord_001121,mrc_demo_001,6453.25,UPI,CAPTURED,2026-08-04T18:15:00
pay_001122,ord_001122,mrc_demo_001,8262.92,NETBANKING,CAPTURED,2026-08-07T08:15:00
pay_001123,ord_001123,mrc_demo_001,12036.71,UPI,CAPTURED,2026-07-05T15:15:00
pay_001124,ord_001124,mrc_demo_003,7714.93,UPI,CAPTURED,2026-08-03T08:15:00
pay_001125,ord_001125,mrc_demo_001,17881.61,UPI,CAPTURED,2026-08-01T09:15:00
pay_001126,ord_001126,mrc_demo_001,15701.51,NETBANKING,CAPTURED,2026-07-18T14:15:00
pay_001127,ord_001127,mrc_demo_002,19878.83,CARD,CAPTURED,2026-07-07T14:15:00
pay_001128,ord_001128,mrc_demo_002,10545.35,NETBANKING,CAPTURED,2026-07-26T14:15:00
pay_001129,ord_001129,mrc_demo_001,23093.61,UPI,CAPTURED,2026-08-13T09:15:00
pay_001130,ord_001130,mrc_demo_003,20340.99,UPI,CAPTURED,2026-07-24T17:15:00
pay_001131,ord_001131,mrc_demo_002,23542.7,UPI,CAPTURED,2026-08-12T12:15:00
pay_001132,ord_001132,mrc_demo_003,4079.11,CARD,CAPTURED,2026-07-14T09:15:00
pay_001133,ord_001133,mrc_demo_002,5846.99,UPI,CAPTURED,2026-08-06T17:15:00
pay_001134,ord_001134,mrc_demo_002,8937.42,CARD,CAPTURED,2026-07-22T17:15:00
pay_001135,ord_001135,mrc_demo_003,1971.76,UPI,CAPTURED,2026-07-26T09:15:00
pay_001136,ord_001136,mrc_demo_002,9408.41,UPI,CAPTURED,2026-07-11T08:15:00
pay_001137,ord_001137,mrc_demo_001,2268.66,WALLET,CAPTURED,2026-08-13T15:15:00
pay_001138,ord_001138,mrc_demo_003,8792.61,NETBANKING,CAPTURED,2026-07-08T18:15:00
pay_001139,ord_001139,mrc_demo_001,10032.37,UPI,CAPTURED,2026-07-15T08:15:00
pay_001140,ord_001140,mrc_demo_001,7413.39,UPI,CAPTURED,2026-07-17T15:15:00
pay_001141,ord_001141,mrc_demo_003,5944.8,NETBANKING,CAPTURED,2026-08-15T09:15:00
pay_001142,ord_001142,mrc_demo_001,23048.5,WALLET,CAPTURED,2026-07-30T17:15:00
pay_001143,ord_001143,mrc_demo_002,24163.18,WALLET,CAPTURED,2026-07-02T19:15:00
pay_001144,ord_001144,mrc_demo_002,10160.73,WALLET,CAPTURED,2026-08-07T12:15:00
pay_001145,ord_001145,mrc_demo_001,12884.09,CARD,CAPTURED,2026-07-05T20:15:00
pay_001146,ord_001146,mrc_demo_001,2793.94,CARD,CAPTURED,2026-07-16T10:15:00
pay_001147,ord_001147,mrc_demo_003,11732.45,WALLET,CAPTURED,2026-08-01T18:15:00
pay_001148,ord_001148,mrc_demo_002,11855.41,NETBANKING,CAPTURED,2026-07-05T20:15:00
pay_001149,ord_001149,mrc_demo_003,7932.17,UPI,CAPTURED,2026-07-05T08:15:00
