bank_transaction_id,settlement_id,merchant_id,credited_amount,credit_date,bank_reference
bnk_001132,stl_001132,mrc_demo_003,3982.85,2026-07-18,UTR226132714276
bnk_001133,stl_001133,mrc_demo_002,5583.5,2026-08-08,UTR869972833362
bnk_001135,stl_001135,mrc_demo_003,1925.22,2026-07-28,UTR600019373152
bnk_001136,stl_001136,mrc_demo_002,9186.37,2026-07-12,UTR781845110195
bnk_001137,stl_001137,mrc_demo_001,2215.12,2026-08-17,UTR337396443949
bnk_001138,stl_001138,mrc_demo_003,8585.11,2026-07-13,UTR437872761622
bnk_001139,stl_001139,mrc_demo_001,9795.6,2026-07-17,UTR335988370017
bnk_001140,stl_001140,mrc_demo_001,7177.2,2026-07-20,UTR517166676092
bnk_001141,stl_001141,mrc_demo_003,5804.5,2026-08-20,UTR576923056688
bnk_001142,stl_001142,mrc_demo_001,22504.56,2026-08-04,UTR558015920905
bnk_dup_001142,stl_001142,mrc_demo_001,22504.56,2026-08-03,UTR225797509938
bnk_001143,stl_001143,mrc_demo_002,23592.93,2026-07-04,UTR366742651064
bnk_001144,stl_001144,mrc_demo_002,9920.94,2026-08-09,UTR956129010748
bnk_001145,stl_001145,mrc_demo_001,12580.03,2026-07-08,UTR812186961287
bnk_001146,stl_001146,mrc_demo_001,2728.0,2026-07-19,UTR293597168175
bnk_001147,stl_001147,mrc_demo_003,11455.56,2026-08-05,UTR264566563474
bnk_001148,stl_001148,mrc_demo_002,11575.62,2026-07-09,UTR486788314061
bnk_001149,stl_001149,mrc_demo_003,7744.97,2026-07-08,UTR808999160978
