txn_id,date,description,amount,balance
BT0211,2025-01-14,SLACK T0288,"-3,422.63","48,999.32"
BT0031,2025-01-15,AMAZON SETTLEMENT 0030 EDI PYMNT,"4,805.37","53,804.69"
BT0137,2025-01-15,NOTION LABS INC,-392.03,"53,412.66"
BT0218,01/15/2025,GUSTO PAY xxNET DIRECT DEP,"-37,291.76","16,120.90"
BT0219,2025-01-15,GUSTO TAX xxIRS 941,"-3,657.46","12,463.44"
BT0119,2025-01-17,INTUIT *QBOOKS,-957.66,"11,505.78"
BT0154,01/17/2025,VERCEL INC,"-2,881.06","8,624.72"
BT0188,01/18/2025,FRACTIONAL CFO LLC,"-4,016.88","4,607.84"
BT0196,01/18/2025,FEDEX 7729,"-3,384.05","1,223.79"
BT0058,01/19/2025,STRIPE TRANSFER 0057 EDI PYMNT,"3,727.76","4,951.55"
BT0100,01/20/2025,COMCAST BUSINESS,"-1,746.79","3,204.76"
BT0033,2025-01-21,AMAZON SETTLEMENT 0032 EDI PYMNT,"7,186.13","10,390.89"
BT0163,2025-01-21,WEWORK MEMBERSHIP,-68.68,"10,322.21"
BT0208,01/21/2025,GUSTO LAW RETAINER,-855.59,"9,466.62"
BT0006,01/22/2025,SHOPIFY PAYMENTS 0005 EDI PYMNT,"11,128.24","20,594.86"
BT0090,01/22/2025,SHIPSTATION,"-1,274.81","19,320.05"
BT0105,2025-01-22,USPS PB 8000,"-3,201.79","16,118.26"
BT0164,01/22/2025,VERIZON WRLS,"-3,580.82","12,537.44"
BT0103,2025-01-23,FIGMA MONTHLY,"-1,410.39","11,127.05"
BT0141,2025-01-23,FEDEX 7729,-229.34,"10,897.71"
BT0191,2025-01-23,STAPLES 00471,"-2,911.80","7,985.91"
BT0102,01/24/2025,ALIBABA *RAWMAT,"-1,342.48","6,643.43"
BT0152,01/24/2025,INGREDIENT SUPPLIER LLC,"-2,855.68","3,787.75"
BT0060,01/25/2025,STRIPE TRANSFER 0059 EDI PYMNT,"7,233.86","11,021.61"
BT0087,2025-01-25,AMZN MKTP US*2H,"-4,178.07","6,843.54"
BT0098,01/25/2025,WEWORK MEMBERSHIP,"-1,993.88","4,849.66"
BT0183,2025-01-25,SLACK T0288,"-2,573.36","2,276.30"
BT0132,01/26/2025,VERCEL INC,-464.18,"1,812.12"
BT0199,2025-01-26,FRACTIONAL CFO LLC,"-2,664.20",-852.08
BT0135,2025-01-27,FACEBK *7H2K9,"-2,311.22","-3,163.30"
BT0166,01/29/2025,EASYPOST,-230.47,"-3,393.77"
BT0175,2025-01-29,EASYPOST,"-3,469.80","-6,863.57"
BT0212,01/29/2025,AMZN MKTP US*2H,"-3,111.08","-9,974.65"
BT0220,01/29/2025,GUSTO PAY xxNET DIRECT DEP,"-29,039.11","-39,013.76"
BT0221,2025-01-29,GUSTO TAX xxIRS 941,"-2,848.07","-41,861.83"
BT0008,01/30/2025,SHOPIFY PAYMENTS 0007 EDI PYMNT,"5,631.22","-36,230.61"
BT0035,2025-01-30,AMAZON SETTLEMENT 0034 EDI PYMNT,"2,459.88","-33,770.73"
BT0062,01/30/2025,STRIPE TRANSFER 0061 EDI PYMNT,"10,668.44","-23,102.29"
BT0082,01/31/2025,USPS PB 8000,-646.70,"-23,748.99"
BT0165,2025-01-31,VERCEL INC,"-2,075.09","-25,824.08"
BT0167,2025-01-31,AMZN MKTP US*2H,"-1,602.71","-27,426.79"
BT0230,01/31/2025,ONLINE TRANSFER TO SAVINGS xxxx8841,"-25,000.00","-52,426.79"
BT0122,02/02/2025,FIGMA MONTHLY,"-3,683.95","-56,110.74"
BT0216,02/02/2025,SHIPSTATION,-244.89,"-56,355.63"
BT0085,2025-02-03,STRIPE ATLAS,"-4,189.42","-60,545.05"
BT0010,02/05/2025,SHOPIFY PAYMENTS 0009 EDI PYMNT,"9,196.39","-51,348.66"
BT0080,02/05/2025,FLEXPORT 3PL INV,"-1,379.07","-52,727.73"
BT0131,2025-02-06,AMZN MKTP US*2H,"-2,601.98","-55,329.71"
BT0037,2025-02-07,AMAZON SETTLEMENT 0036 EDI PYMNT,"6,399.96","-48,929.75"
BT0064,02/07/2025,STRIPE TRANSFER 0063 EDI PYMNT,"10,139.10","-38,790.65"
BT0134,02/07/2025,KLAVIYO INC,"-2,960.37","-41,751.02"
BT0140,02/07/2025,FLEXPORT 3PL INV,-986.25,"-42,737.27"
BT0078,02/08/2025,FRACTIONAL CFO LLC,"-2,565.83","-45,303.10"
BT0094,02/09/2025,INTUIT *QBOOKS,"-1,505.08","-46,808.18"
BT0198,02/10/2025,FLEXPORT 3PL INV,"-2,309.83","-49,118.01"
BT0012,02/12/2025,SHOPIFY PAYMENTS 0011 EDI PYMNT,"6,007.26","-43,110.75"
BT0222,02/12/2025,GUSTO PAY xxNET DIRECT DEP,"-28,280.16","-71,390.91"
BT0223,2025-02-12,GUSTO TAX xxIRS 941,"-2,773.63","-74,164.54"
BT0066,02/13/2025,STRIPE TRANSFER 0065 EDI PYMNT,"10,095.33","-64,069.21"
BT0079,2025-02-13,GUSTO LAW RETAINER,"-2,033.67","-66,102.88"
BT0195,2025-02-13,KLAVIYO INC,"-1,683.10","-67,785.98"
BT0039,2025-02-14,AMAZON SETTLEMENT 0038 EDI PYMNT,"7,005.91","-60,780.07"
BT0112,02/14/2025,DELOITTE TAX SVCS,-965.79,"-61,745.86"
BT0203,2025-02-15,FLEXPORT 3PL INV,-502.39,"-62,248.25"
BT0177,2025-02-16,VERIZON WRLS,"-3,015.63","-65,263.88"
BT0109,2025-02-17,GOOGLE *GSUITE_acme,"-2,251.21","-67,515.09"
BT0099,2025-02-18,WEWORK MEMBERSHIP,"-3,646.14","-71,161.23"
BT0068,02/19/2025,STRIPE TRANSFER 0067 EDI PYMNT,"6,449.49","-64,711.74"
BT0108,02/19/2025,CONTRACT MFG ACH,"-4,055.07","-68,766.81"
BT0148,02/19/2025,CONTRACT MFG ACH,"-1,156.26","-69,923.07"
BT0014,02/21/2025,SHOPIFY PAYMENTS 0013 EDI PYMNT,"10,419.94","-59,503.13"
BT0118,02/21/2025,USPS PB 8000,-709.21,"-60,212.34"
BT0147,2025-02-21,EASYPOST,-784.39,"-60,996.73"
BT0041,2025-02-22,AMAZON SETTLEMENT 0040 EDI PYMNT,"7,066.86","-53,929.87"
BT0155,2025-02-22,CONTRACT MFG ACH,-492.08,"-54,421.95"
BT0182,02/22/2025,INFLUENCER PAYOUT GRIN,"-3,123.70","-57,545.65"
BT0185,2025-02-23,INFLUENCER PAYOUT GRIN,"-1,432.56","-58,978.21"
BT0107,2025-02-24,PINTEREST ADS 22,"-1,832.91","-60,811.12"
BT0125,2025-02-26,NOTION LABS INC,-504.00,"-61,315.12"
BT0145,2025-02-26,DELOITTE TAX SVCS,"-1,393.80","-62,708.92"
BT0217,2025-02-26,PINTEREST ADS 22,"-3,651.79","-66,360.71"
BT0224,02/26/2025,GUSTO PAY xxNET DIRECT DEP,"-30,514.61","-96,875.32"
BT0225,2025-02-26,GUSTO TAX xxIRS 941,"-2,992.78","-99,868.10"
BT0016,02/27/2025,SHOPIFY PAYMENTS 0015 EDI PYMNT,"6,449.87","-93,418.23"
BT0104,02/27/2025,FLEXPORT 3PL INV,-262.50,"-93,680.73"
BT0169,2025-02-27,SHENZHEN MFG CO,"-3,600.54","-97,281.27"
BT0070,02/28/2025,STRIPE TRANSFER 0069 EDI PYMNT,"6,168.66","-91,112.61"
BT0174,02/28/2025,STAPLES 00471,"-2,756.21","-93,868.82"
BT0184,02/28/2025,VERCEL INC,"-1,662.31","-95,531.13"
BT0187,2025-02-28,VERCEL INC,"-3,747.53","-99,278.66"
BT0043,2025-03-02,AMAZON SETTLEMENT 0042 EDI PYMNT,"9,184.24","-90,094.42"
BT0096,03/02/2025,FEDEX 7729,"-3,578.07","-93,672.49"
BT0126,03/02/2025,SHENZHEN MFG CO,"-2,307.64","-95,980.13"
BT0231,2025-03-02,ONLINE TRANSFER FROM SAVINGS xxxx8841,"25,000.00","-70,980.13"
BT0190,03/03/2025,VERIZON WRLS,"-3,526.25","-74,506.38"
BT0018,03/04/2025,SHOPIFY PAYMENTS 0017 EDI PYMNT,"8,477.03","-66,029.35"
BT0117,2025-03-04,KLAVIYO INC,"-4,183.86","-70,213.21"
BT0181,2025-03-05,GOOGLE *GSUITE_acme,"-3,768.95","-73,982.16"
BT0113,2025-03-06,USPS PB 8000,-449.32,"-74,431.48"
BT0120,03/06/2025,INFLUENCER PAYOUT GRIN,-111.60,"-74,543.08"
BT0193,2025-03-06,UBER *TRIP,"-3,709.67","-78,252.75"
BT0173,2025-03-07,UBER *TRIP,"-2,684.91","-80,937.66"
BT0197,2025-03-07,INGREDIENT SUPPLIER LLC,"-2,946.06","-83,883.72"
BT0213,2025-03-07,FRACTIONAL CFO LLC,"-1,645.55","-85,529.27"
BT0072,03/08/2025,STRIPE TRANSFER 0071 EDI PYMNT,"8,791.31","-76,737.96"
BT0115,2025-03-08,EASYPOST,"-1,925.77","-78,663.73"
BT0133,2025-03-08,STAPLES 00471,"-3,271.87","-81,935.60"
BT0159,2025-03-08,INFLUENCER PAYOUT GRIN,"-3,669.74","-85,605.34"
BT0206,03/08/2025,FEDEX 7729,"-3,398.71","-89,004.05"
BT0020,03/09/2025,SHOPIFY PAYMENTS 0019 EDI PYMNT,"5,409.07","-83,594.98"
BT0110,03/09/2025,SLACK T0288,"-3,183.62","-86,778.60"
BT0205,2025-03-10,STRIPE ATLAS,"-2,838.34","-89,616.94"
BT0045,2025-03-11,AMAZON SETTLEMENT 0044 EDI PYMNT,"2,357.46","-87,259.48"
BT0210,03/11/2025,UPWORK *CONTRACTOR,-872.72,"-88,132.20"
BT0226,03/12/2025,GUSTO PAY xxNET DIRECT DEP,"-27,263.69","-115,395.89"
BT0227,2025-03-12,GUSTO TAX xxIRS 941,"-2,673.94","-118,069.83"
BT0092,03/13/2025,ALIBABA *RAWMAT,"-3,117.04","-121,186.87"
BT0162,03/13/2025,STRIPE ATLAS,-641.38,"-121,828.25"
BT0022,03/14/2025,SHOPIFY PAYMENTS 0021 EDI PYMNT,"5,176.52","-116,651.73"
BT0101,2025-03-14,GOOGLE ADS 8842,"-1,452.36","-118,104.09"
BT0158,03/14/2025,AMZN MKTP US*2H,"-2,430.39","-120,534.48"
BT0168,03/15/2025,FIGMA MONTHLY,"-1,876.71","-122,411.19"
BT0074,03/16/2025,STRIPE TRANSFER 0073 EDI PYMNT,"2,429.38","-119,981.81"
BT0095,2025-03-16,PACKAGING SUPPLY CO,"-1,573.63","-121,555.44"
BT0097,2025-03-16,VERCEL INC,"-2,671.78","-124,227.22"
BT0151,2025-03-17,FACEBK *7H2K9,"-1,759.00","-125,986.22"
BT0186,03/17/2025,NOTION LABS INC,"-3,520.61","-129,506.83"
BT0232,03/17/2025,OWNER DISTRIBUTION ACH,"-12,000.00","-141,506.83"
BT0083,2025-03-18,VERCEL INC,"-3,603.58","-145,110.41"
BT0047,2025-03-20,AMAZON SETTLEMENT 0046 EDI PYMNT,"4,236.97","-140,873.44"
BT0153,2025-03-20,VERIZON WRLS,"-3,276.91","-144,150.35"
BT0129,2025-03-21,NOTION LABS INC,"-2,194.89","-146,345.24"
BT0176,03/21/2025,PACKAGING SUPPLY CO,"-2,361.43","-148,706.67"
BT0111,2025-03-22,FACEBK *7H2K9,"-2,848.81","-151,555.48"
BT0024,03/23/2025,SHOPIFY PAYMENTS 0023 EDI PYMNT,"7,135.47","-144,420.01"
BT0179,2025-03-23,FACEBK *7H2K9,"-1,446.87","-145,866.88"
BT0202,03/23/2025,PINTEREST ADS 22,"-2,287.61","-148,154.49"
BT0076,03/24/2025,STRIPE TRANSFER 0075 EDI PYMNT,"8,346.92","-139,807.57"
BT0081,2025-03-25,FLEXPORT 3PL INV,"-2,992.37","-142,799.94"
BT0093,2025-03-25,INFLUENCER PAYOUT GRIN,"-3,780.29","-146,580.23"
BT0121,2025-03-25,FACEBK *7H2K9,"-1,552.35","-148,132.58"
BT0149,2025-03-25,STRIPE ATLAS,"-3,363.58","-151,496.16"
BT0156,03/25/2025,SHENZHEN MFG CO,-284.74,"-151,780.90"
BT0170,03/25/2025,SHIPBOB INC,"-4,119.20","-155,900.10"
BT0201,2025-03-25,FLEXPORT 3PL INV,-574.57,"-156,474.67"
BT0049,2025-03-26,AMAZON SETTLEMENT 0048 EDI PYMNT,"5,479.61","-150,995.06"
BT0128,03/26/2025,GUSTO LAW RETAINER,"-1,278.67","-152,273.73"
BT0144,03/26/2025,GOOGLE *GSUITE_acme,"-3,581.35","-155,855.08"
BT0161,2025-03-26,ALIBABA *RAWMAT,"-2,034.47","-157,889.55"
BT0178,03/26/2025,STRIPE ATLAS,-496.62,"-158,386.17"
BT0192,03/26/2025,DELOITTE TAX SVCS,-452.86,"-158,839.03"
BT0228,03/26/2025,GUSTO PAY xxNET DIRECT DEP,"-26,832.16","-185,671.19"
BT0229,2025-03-26,GUSTO TAX xxIRS 941,"-2,631.62","-188,302.81"
BT0089,2025-03-27,AMZN MKTP US*2H,"-3,300.87","-191,603.68"
BT0204,03/27/2025,VERIZON WRLS,"-2,456.13","-194,059.81"
BT0026,03/28/2025,SHOPIFY PAYMENTS 0025 EDI PYMNT,"5,771.61","-188,288.20"
BT0142,03/28/2025,VERCEL INC,"-1,234.57","-189,522.77"
BT0157,2025-03-28,SHIPBOB INC,"-2,965.09","-192,487.86"
BT0088,03/29/2025,FLEXPORT 3PL INV,"-3,001.88","-195,489.74"
BT0116,03/29/2025,UBER *TRIP,"-1,432.15","-196,921.89"
BT0127,2025-03-29,DELOITTE TAX SVCS,-878.97,"-197,800.86"
BT0200,03/29/2025,PINTEREST ADS 22,"-3,006.13","-200,806.99"
BT0215,2025-03-29,CONTRACT MFG ACH,"-1,761.25","-202,568.24"
BT0194,03/30/2025,CONTRACT MFG ACH,"-4,114.31","-206,682.55"
BT0051,2025-03-31,AMAZON SETTLEMENT 0050 EDI PYMNT,"2,648.52","-204,034.03"
BT0180,03/31/2025,SHIPSTATION,"-2,201.90","-206,235.93"
