order_id,merchant_id,customer_id,order_amount,currency,order_date,order_status
ord_001100,mrc_demo_003,cus_33600,14256.36,INR,2026-07-27,PAID
ord_001101,mrc_demo_003,cus_86435,6210.1,INR,2026-08-13,PAID
ord_001102,mrc_demo_002,cus_70981,482.09,INR,2026-08-12,PAID
ord_001103,mrc_demo_003,cus_69878,17334.93,INR,2026-07-28,PAID
ord_001104,mrc_demo_002,cus_48780,9133.83,INR,2026-08-06,PAID
ord_001105,mrc_demo_003,cus_75107,22787.5,INR,2026-07-04,PAID
ord_001106,mrc_demo_001,cus_42850,4955.31,INR,2026-08-10,PAID
ord_001107,mrc_demo_003,cus_67779,7895.67,INR,2026-07-03,PAID
ord_001108,mrc_demo_002,cus_33021,18749.84,INR,2026-07-21,PAID
ord_001109,mrc_demo_002,cus_54396,18727.03,INR,2026-07-19,PAID
ord_001110,mrc_demo_003,cus_83048,24189.67,INR,2026-07-26,PAID
ord_001111,mrc_demo_002,cus_44362,18787.72,INR,2026-08-13,PAID
ord_001112,mrc_demo_002,cus_83584,15583.44,INR,2026-07-02,PAID
ord_001113,mrc_demo_002,cus_63516,7728.78,INR,2026-08-14,PAID
ord_001114,mrc_demo_001,cus_27781,22209.39,INR,2026-07-16,PAID
ord_001115,mrc_demo_003,cus_30253,10622.99,INR,2026-08-04,PAID
ord_001116,mrc_demo_002,cus_38477,17334.12,INR,2026-07-03,PAID
ord_001117,mrc_demo_001,cus_94518,9341.13,INR,2026-08-13,PAID
ord_001118,mrc_demo_002,cus_26011,4947.31,INR,2026-07-18,PAID
ord_001119,mrc_demo_001,cus_41925,19722.86,INR,2026-07-04,PAID
ord_001120,mrc_demo_003,cus_40539,14762.63,INR,2026-07-14,PAID
ord_001121,mrc_demo_001,cus_32871,6453.25,INR,2026-08-04,PAID
ord_001122,mrc_demo_001,cus_32838,8262.92,INR,2026-08-07,PAID
ord_001123,mrc_demo_001,cus_57453,12036.71,INR,2026-07-05,PAID
ord_001124,mrc_demo_003,cus_94323,7714.93,INR,2026-08-03,PAID
ord_001125,mrc_demo_001,cus_68138,17881.61,INR,2026-08-01,PAID
ord_001126,mrc_demo_001,cus_86724,15701.51,INR,2026-07-18,PAID
ord_001127,mrc_demo_002,cus_24996,19878.83,INR,2026-07-07,PAID
ord_001128,mrc_demo_002,cus_22463,10545.35,INR,2026-07-26,PAID
ord_001129,mrc_demo_001,cus_18799,23093.61,INR,2026-08-13,PAID
ord_001130,mrc_demo_003,cus_82924,20340.99,INR,2026-07-24,PAID
ord_001131,mrc_demo_002,cus_65435,23542.7,INR,2026-08-12,PAID
ord_001132,mrc_demo_003,cus_73201,4079.11,INR,2026-07-14,PAID
ord_001133,mrc_demo_002,cus_66244,5846.99,INR,2026-08-06,PAID
ord_001134,mrc_demo_002,cus_33777,8937.42,INR,2026-07-22,PAID
ord_001135,mrc_demo_003,cus_92991,1971.76,INR,2026-07-26,PAID
ord_001136,mrc_demo_002,cus_52517,9408.41,INR,2026-07-11,PAID
ord_001137,mrc_demo_001,cus_68079,2268.66,INR,2026-08-13,PAID
ord_001138,mrc_demo_003,cus_24534,8792.61,INR,2026-07-08,PAID
ord_001139,mrc_demo_001,cus_88554,10032.37,INR,2026-07-15,PAID
ord_001140,mrc_demo_001,cus_25726,7413.39,INR,2026-07-17,PAID
ord_001141,mrc_demo_003,cus_83233,5944.8,INR,2026-08-15,PAID
ord_001142,mrc_demo_001,cus_51033,23048.5,INR,2026-07-30,PAID
ord_001143,mrc_demo_002,cus_32527,24163.18,INR,2026-07-02,PAID
ord_001144,mrc_demo_002,cus_20308,10160.73,INR,2026-08-07,PAID
ord_001145,mrc_demo_001,cus_24945,12884.09,INR,2026-07-05,PAID
ord_001146,mrc_demo_001,cus_43550,2793.94,INR,2026-07-16,PAID
ord_001147,mrc_demo_003,cus_83889,11732.45,INR,2026-08-01,PAID
ord_001148,mrc_demo_002,cus_92756,11855.41,INR,2026-07-05,PAID
ord_001149,mrc_demo_003,cus_69233,7932.17,INR,2026-07-05,PAID
