settlement_id,payment_id,merchant_id,gross_amount,gateway_fee,tax_on_fee,net_amount,settlement_date,settlement_status
stl_001119,pay_001119,mrc_demo_001,19722.86,394.46,71.0,19257.4,2026-07-05,PROCESSED
stl_001120,pay_001120,mrc_demo_003,14261.38,295.25,53.15,13912.98,2026-07-15,PROCESSED
stl_001121,pay_001121,mrc_demo_001,6453.25,129.06,23.23,6300.96,2026-08-04,PROCESSED
stl_001122,pay_001122,mrc_demo_001,8262.92,165.26,29.75,8067.91,2026-08-08,PROCESSED
stl_001123,pay_001123,mrc_demo_001,12036.71,240.73,43.33,11752.65,2026-07-06,PROCESSED
stl_001124,pay_001124,mrc_demo_003,7714.93,154.3,27.77,7532.86,2026-08-06,PROCESSED
stl_001125,pay_001125,mrc_demo_001,17881.61,357.63,64.37,17459.61,2026-08-03,PROCESSED
stl_001126,pay_001126,mrc_demo_001,15701.51,314.03,56.53,15330.95,2026-07-20,PROCESSED
stl_001127,pay_001127,mrc_demo_002,19878.83,397.58,71.56,19409.69,2026-07-10,PROCESSED
stl_001128,pay_001128,mrc_demo_002,10545.35,210.91,37.96,10296.48,2026-07-28,PROCESSED
stl_001129,pay_001129,mrc_demo_001,23093.61,461.87,83.14,22548.6,2026-08-13,PROCESSED
stl_001130,pay_001130,mrc_demo_003,20340.99,406.82,73.23,19860.94,2026-07-26,PROCESSED
stl_001131,pay_001131,mrc_demo_002,23542.7,470.85,84.75,22987.1,2026-08-14,PROCESSED
stl_001132,pay_001132,mrc_demo_003,4079.11,81.58,14.68,3982.85,2026-07-16,PROCESSED
stl_001133,pay_001133,mrc_demo_002,5721.49,116.94,21.05,5583.5,2026-08-08,PROCESSED
stl_001135,pay_001135,mrc_demo_003,1971.76,39.44,7.1,1925.22,2026-07-27,PROCESSED
stl_001136,pay_001136,mrc_demo_002,9408.41,188.17,33.87,9186.37,2026-07-12,PROCESSED
stl_001137,pay_001137,mrc_demo_001,2268.66,45.37,8.17,2215.12,2026-08-16,PROCESSED
stl_001138,pay_001138,mrc_demo_003,8792.61,175.85,31.65,8585.11,2026-07-11,PROCESSED
stl_001139,pay_001139,mrc_demo_001,10032.37,200.65,36.12,9795.6,2026-07-16,PROCESSED
stl_001140,pay_001140,mrc_demo_001,7413.39,200.16,36.03,7177.2,2026-07-20,PROCESSED
stl_001141,pay_001141,mrc_demo_003,5944.8,118.9,21.4,5804.5,2026-08-18,PROCESSED
stl_001142,pay_001142,mrc_demo_001,23048.5,460.97,82.97,22504.56,2026-08-02,PROCESSED
stl_001143,pay_001143,mrc_demo_002,24163.18,483.26,86.99,23592.93,2026-07-04,PROCESSED
stl_001144,pay_001144,mrc_demo_002,10160.73,203.21,36.58,9920.94,2026-08-09,PROCESSED
stl_001145,pay_001145,mrc_demo_001,12884.09,257.68,46.38,12580.03,2026-07-07,PROCESSED
stl_001146,pay_001146,mrc_demo_001,2793.94,55.88,10.06,2728.0,2026-07-17,PROCESSED
stl_001147,pay_001147,mrc_demo_003,11732.45,234.65,42.24,11455.56,2026-08-03,PROCESSED
stl_001148,pay_001148,mrc_demo_002,11855.41,237.11,42.68,11575.62,2026-07-07,PROCESSED
stl_001149,pay_001149,mrc_demo_003,7932.17,158.64,28.56,7744.97,2026-07-07,PROCESSED
